departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
126,San Martín,82,Santa Fe,2023,19,Dengue,7,De 15 a 19 años,2
77,Libertad,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,2
70,Santa Bárbara,38,Jujuy,2023,19,Dengue,12,Mayores de 65 años,3
140,Rosario de la Frontera,66,Salta,2023,19,Dengue,12,Mayores de 65 años,1
91,Berazategui,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,9
63,San Pedro,38,Jujuy,2023,19,Dengue,11,De 45 a 65 años,9
63,San Pedro,38,Jujuy,2023,19,Dengue,4,De 2 a 4 años,1
56,Leales,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,1
63,La Capital,82,Santa Fe,2023,19,Dengue,12,Mayores de 65 años,15
119,Yerba Buena,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,3
98,Mayor Luis J. Fontana,22,Chaco,2023,19,Dengue,4,De 2 a 4 años,1
105,9 de Julio,22,Chaco,2023,19,Dengue,5,De 5 a 9 años,1
7,Anta,66,Salta,2023,19,Dengue,4,De 2 a 4 años,1
105,9 de Julio,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,5
49,General Obligado,82,Santa Fe,2023,19,Dengue,4,De 2 a 4 años,5
91,Jiménez,86,Santiago del Estero,2023,19,Dengue,10,De 35 a 44 años,3
260,Esteban Echeverría,6,Buenos Aires,2023,19,Dengue,8,De 20 a 24 años,2
91,Jiménez,86,Santiago del Estero,2023,19,Dengue,11,De 45 a 65 años,2
49,General Belgrano,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,1
49,Pilcomayo,34,Formosa,2023,19,Dengue,5,De 5 a 9 años,3
36,12 de Octubre,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,2
28,Famaillá,90,Tucumán,2023,19,Dengue,8,De 20 a 24 años,1
35,Banda,86,Santiago del Estero,2023,19,Dengue,5,De 5 a 9 años,5
98,Mayor Luis J. Fontana,22,Chaco,2023,19,Dengue,7,De 15 a 19 años,6
840,Tres de Febrero,6,Buenos Aires,2023,19,Dengue,3,De 13 a 24 meses,1
13,COMUNA 13,2,CABA,2023,19,Dengue,11,De 45 a 65 años,6
84,Capital,90,Tucumán,2023,19,Dengue,4,De 2 a 4 años,3
140,San Luis del Palmar,18,Corrientes,2023,19,Dengue,6,De 10 a 14 años,1
14,COMUNA 14,2,CABA,2023,19,Dengue,4,De 2 a 4 años,1
49,Pilcomayo,34,Formosa,2023,19,Dengue,8,De 20 a 24 años,3
42,General López,82,Santa Fe,2023,19,Dengue,10,De 35 a 44 años,1
7,Anta,66,Salta,2023,19,Dengue,11,De 45 a 65 años,25
70,Santa Bárbara,38,Jujuy,2023,19,Dengue,6,De 10 a 14 años,2
98,Mayor Luis J. Fontana,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,11
